Date,ts_polarity,twitter_volume
2017-07-02,0.16691130885575312,292
2017-07-03,0.12415424725631165,506
2017-07-04,0.06653854057942532,653
2017-07-05,0.12400362641164454,590
2017-07-06,0.13260711783294082,737
2017-07-07,0.1345092837239396,796
2017-07-08,0.15983328151604814,405
2017-07-09,0.1108924454169018,294
2017-07-10,0.14575535860260128,665
2017-07-11,0.10791749666053158,755
2017-07-12,0.13633629774936834,937
2017-07-13,0.12319175968396567,848
2017-07-14,0.11271321198186254,686
2017-07-15,0.04873367851241599,448
2017-07-16,-0.02730727693223539,282
2017-07-17,0.09383315005049317,651
2017-07-18,0.08178492470262666,666
2017-07-19,0.15292779059482314,966
2017-07-20,0.10814247581017722,796
2017-07-21,0.1700143142210339,664
2017-07-22,0.1690300036172014,356
2017-07-23,0.20396105495489766,298
2017-07-24,0.14456529689409545,515
2017-07-25,0.1458389111526287,802
2017-07-26,0.1241849266836273,779
2017-07-27,0.0750125470422506,873
2017-07-28,0.03980867915972525,701
2017-07-29,-0.011660931868330615,484
2017-07-30,0.11091190195086316,319
2017-07-31,0.0019036345598845703,73
2017-08-01,0.11620598705388227,910
2017-08-02,0.09277402464847273,3992
2017-08-03,0.10228322422896208,1221
2017-08-04,0.128385817104441,759
2017-08-05,0.002677000418935871,468
2017-08-06,0.13779287841787854,363
2017-08-07,0.0018039414992305212,631
2017-08-08,0.13078196193358466,940
2017-08-09,0.19669211632735956,1413
2017-08-10,0.13837989208704282,1167
2017-08-11,0.08433366386749125,935
2017-08-12,0.09295659211159317,466
2017-08-13,0.18065969197497728,321
2017-08-14,0.13439103474556044,751
2017-08-15,0.10877087359807933,1137
2017-08-16,0.06527681118388495,1044
2017-08-17,0.08867892391409737,929
2017-08-18,0.11459075658132435,777
2017-08-19,0.19408849940264472,463
2017-08-20,0.1769487333654001,245
2017-08-21,0.14174121538184142,651
2017-08-22,0.13717785996308815,816
2017-08-23,0.14454972820958564,942
2017-08-24,0.1681875080541366,789
2017-08-25,0.0772235954940132,809
2017-08-26,0.09181345011577656,387
2017-08-27,0.09119382324897653,293
2017-08-28,0.13339348100005705,658
2017-08-29,0.09936664721414047,1469
2017-08-30,0.0978435792970766,1322
2017-08-31,0.2146429504403644,255
2017-09-01,0.06077732037067553,664
2017-09-02,0.15167009996582426,487
2017-09-03,0.12403134433134487,366
2017-09-04,0.13352034447346992,427
2017-09-05,0.14238817101144344,737
2017-09-06,0.09035693186401306,931
2017-09-07,0.07795541538070405,935
2017-09-08,0.09674162890491704,930
2017-09-09,0.06175237815043633,261
2017-09-10,0.15510845890433084,457
2017-09-11,0.12284191284538518,1196
2017-09-12,0.07345681805888299,496
2017-09-13,0.049481220155530914,1378
2017-09-14,0.03656964780291316,1485
2017-09-15,0.11964978001162604,1474
2017-09-16,0.07826850623945791,805
2017-09-17,0.10539505999495974,541
2017-09-18,0.1450515625321373,838
2017-09-19,0.12249759059127432,1173
2017-09-20,0.07685653799887415,1416
2017-09-21,0.06433647591744546,1118
2017-09-22,0.02866790519502127,1345
2017-09-23,0.06917356210814968,715
2017-09-24,0.14500276238912632,458
2017-09-25,0.0960296184321046,1216
2017-09-26,0.12452266252779375,1266
2017-09-27,0.1503065791442988,902
2017-09-28,0.1083969924230486,871
2017-09-29,0.09750161790634744,770
2017-09-30,0.19647339102696226,193
2017-10-01,0.1694481213231216,260
2017-10-02,0.12612590899016138,700
2017-10-03,0.10849295173425696,787
2017-10-04,0.1195801716157445,929
2017-10-05,0.07155955068570352,844
2017-10-06,0.08366133194762271,805
2017-10-07,0.13025600915139593,465
2017-10-08,0.07088821749238472,356
2017-10-09,0.16395487702656913,629
2017-10-10,0.08631227648349749,862
2017-10-11,0.09557570353192413,840
2017-10-12,0.13031541782517486,697
2017-10-13,0.06476516566105822,725
2017-10-14,0.1329546621502644,446
2017-10-15,0.1575021665518829,346
2017-10-16,0.10947453389382387,855
2017-10-17,0.147413439465273,864
2017-10-18,0.144473616847181,830
2017-10-19,0.08694239898448186,1286
2017-10-20,0.104581307990399,924
2017-10-21,0.05031474873039316,558
2017-10-22,0.18796595655806211,375
2017-10-23,0.06006407118574275,709
2017-10-24,0.09923553601881603,902
2017-10-25,0.12298435238589955,779
2017-10-26,0.04246373843135981,658
2017-10-27,0.1068365935700024,1149
2017-10-28,0.17402142750253874,613
2017-10-29,0.15888829821930306,421
2017-10-30,0.11559244149028128,955
2017-10-31,0.11158061703554673,293
2017-11-01,0.1611532073695538,795
2017-11-02,0.11465550273896635,1116
2017-11-03,0.08030578515044923,3260
2017-11-04,0.13877603365789504,776
2017-11-05,0.13571330010159824,441
2017-11-06,0.13574166489583886,818
2017-11-07,0.0939888056807462,1034
2017-11-08,0.11231240070255266,927
2017-11-09,0.12924209442357615,1181
2017-11-10,0.11270233433958968,990
2017-11-11,0.12467033258924255,543
2017-11-12,0.1194303012883628,434
2017-11-13,0.17217436444467554,569
2017-11-14,0.1053127875018278,743
2017-11-15,0.1297408839578411,1057
2017-11-16,0.1676180506751004,1108
2017-11-17,0.14161260947160412,801
2017-11-18,0.15172737543926598,475
2017-11-19,0.16560292915054856,431
2017-11-20,0.18970102366113054,622
2017-11-21,0.1377216224577637,829
2017-11-22,0.07231379383983577,971
2017-11-23,0.16349374882619613,460
